旅客记录号,乘客数,到达航班,到达日期,出发航班,出发日期
T0001,2,NV677,2018/1/19,NV3446,2018/1/19
T0002,2,NV677,2018/1/19,NV3446,2018/1/19
T0003,2,NV677,2018/1/19,NV3446,2018/1/19
T0004,1,NV677,2018/1/19,NV3446,2018/1/19
T0005,1,NV677,2018/1/19,NV3615,2018/1/19
T0006,2,NV677,2018/1/19,NV655,2018/1/19
T0007,2,NV677,2018/1/19,NV655,2018/1/19
T0008,2,NV677,2018/1/19,NV655,2018/1/19
T0009,2,NV677,2018/1/19,NV6778,2018/1/19
T0010,2,NV677,2018/1/19,NV6154,2018/1/19
T0011,2,NV677,2018/1/19,NV6154,2018/1/19
T0012,2,NV677,2018/1/19,NV6154,2018/1/19
T0013,2,NV677,2018/1/19,NV6154,2018/1/19
T0014,2,NV677,2018/1/19,NV6154,2018/1/19
T0015,1,NV677,2018/1/19,NV6154,2018/1/19
T0016,2,NV677,2018/1/19,NV6164,2018/1/19
T0017,2,NV677,2018/1/19,NV6164,2018/1/19
T0018,2,NV677,2018/1/19,NV6164,2018/1/19
T0019,2,NV677,2018/1/19,NV6164,2018/1/19
T0020,2,NV677,2018/1/19,NV6514,2018/1/19
T0021,2,NV677,2018/1/19,NV6514,2018/1/19
T0022,2,NV677,2018/1/19,NV6514,2018/1/19
T0023,2,NV677,2018/1/19,NV6514,2018/1/19
T0024,2,NV677,2018/1/19,NV6514,2018/1/19
T0025,2,NV677,2018/1/19,NV6514,2018/1/19
T0026,2,NV677,2018/1/19,NV6514,2018/1/19
T0027,2,NV677,2018/1/19,NV6514,2018/1/19
T0028,2,NV677,2018/1/19,NV6514,2018/1/19
T0029,1,NV677,2018/1/19,NV6514,2018/1/19
T0030,2,NV675,2018/1/19,NV6154,2018/1/19
T0031,2,NV675,2018/1/19,NV6154,2018/1/19
T0032,1,NV675,2018/1/19,NV3263,2018/1/19
T0033,1,NV675,2018/1/19,NV612,2018/1/19
T0034,1,NV847,2018/1/19,NV3446,2018/1/19
T0035,1,NV847,2018/1/19,NV675,2018/1/19
T0036,2,NV847,2018/1/19,NV655,2018/1/19
T0037,2,NV847,2018/1/19,NV6154,2018/1/19
T0038,2,NV847,2018/1/19,NV6154,2018/1/19
T0039,2,NV847,2018/1/19,NV6154,2018/1/19
T0040,2,NV847,2018/1/19,NV6154,2018/1/19
T0041,2,NV847,2018/1/19,NV6154,2018/1/19
T0042,2,NV847,2018/1/19,NV6154,2018/1/19
T0043,1,NV847,2018/1/19,NV6724,2018/1/19
T0044,1,NV847,2018/1/19,NV6734,2018/1/19
T0045,1,NV847,2018/1/19,NV612,2018/1/19
T0046,2,NV847,2018/1/19,NV6616,2018/1/19
T0047,2,NV847,2018/1/19,NV6514,2018/1/19
T0048,1,NV847,2018/1/19,NV6700,2018/1/19
T0049,2,NV609,2018/1/19,NV675,2018/1/19
T0050,1,NV609,2018/1/19,NV3263,2018/1/19
T0051,1,NV609,2018/1/19,NV6548,2018/1/19
T0052,1,NV609,2018/1/19,NV6230,2018/1/19
T0053,1,NV609,2018/1/19,NV6532,2018/1/19
T0054,2,NV609,2018/1/19,NV6616,2018/1/19
T0055,2,NV609,2018/1/19,NV6616,2018/1/19
T0056,1,NV609,2018/1/19,NV6616,2018/1/19
T0057,2,NV609,2018/1/19,NV6446,2018/1/19
T0058,2,NV609,2018/1/19,NV6446,2018/1/19
T0059,1,NV609,2018/1/19,NV6446,2018/1/19
T0060,2,NV609,2018/1/19,NV6514,2018/1/19
T0061,2,NV609,2018/1/19,NV316,2018/1/19
T0062,1,NV609,2018/1/19,NV316,2018/1/19
T0063,2,NV309,2018/1/19,NV675,2018/1/19
T0064,2,NV309,2018/1/19,NV675,2018/1/19
